Uuid,Attribute|54686249-2c26-4dd9-be90-fc7868dedd8f,Name,Attribute|d4e54a2f-39bf-4b0a-8000-f2048eddbe12,Description,Attribute|f369dbaa-3a0a-416e-97d1-cac1a230824f,County/District,State/Province,Address 4,Void/Retire,_order:1000,Unnamed: 11
58f59ea7-2229-4bd6-900c-e9eb6e6390cc,1094817,1St Tedecha Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Dugda Dawa,,,
82529663-f32d-45c0-9ec0-49891349951e,1001595,22 Mazoria Internal Medicine Speciality Clinic,Operational,Internal Medicine clinic,Specialty Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 4,,,
3002632f-3e02-4a3b-9d6d-b8e84d662ed9,1002249,3B Doctor Bereket Bogale Dental Specialty Clinic,Operational,Dental Speciality Clinic,Specialty Clinic,Addis Ababa City Administration,Kirkos Sub City,Woreda 8,,,
a6620e2a-beee-44ae-af08-c99237a310fd,1057871,3F Primary Clinic ,Operational,Institution Based Primary Clinic,Clinic,Oromia Region,Sheger City,Furi Sub -City,,,
81e560ab-650c-45b8-af6c-885dd96b2c66,1057562,3S Pediatrics Specialty Clinic,Operational,Pediatric clinic,Specialty Clinic,Addis Ababa City Administration,Kolfe Sub city,Woreda 4,,,
84778441-c29e-4c4e-ad52-d849a9242be7,1030060,58 Kidest Mariam Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Nifas Silk Lafto Sub City,Woreda 12,,,
32f19a7b-cb00-4900-8e67-b8a3ee8f11b5,1044294,6 Killo Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Arada Sub City,Woreda 6,,,
501253ed-3db3-41bc-9ecc-0ae1c48ef026,1098178,A1 Dermatology Specialty Clinic ,Operational,Dermatology clinic,Specialty Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 3,,,
dbfcf55a-d0e6-411b-aa8b-627d00e6e38f,1094611,Aafiya Primary Clinic,Operational,Primary Clinic,Clinic,Somali Region,Dawa,Moyale,,,
f41249f0-9770-4ea8-a5df-c188cbae594a,1049473,Aansar Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Seka Chekorsa,,,
9e0e6d76-2867-42a8-be33-263d33c86959,1090307,AAU College of Natural & Computational Sciences Medium Clinic,Operational,Institution Based Medium Clinic,Clinic,Addis Ababa City Administration,Arada Sub City,Woreda 9,,,
cbe30aa5-2185-4dfb-9e55-32598a75affb,1053672,Ababiya Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Arsi zone,Hitosa,,,
d9c92cdf-f0ee-421e-a390-8c15e2c56dd3,1003985,Aba Biya Midium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Shewa Zone,Metehara Town,,,
76d91b47-ad74-4587-8fde-0723302cb711,1087570,Aba Biya Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Guji Zone,Saba Boru,,,
44621a2f-9cfa-4c07-a486-22eb587e6f0c,1097886,Ababogibo,Operational,Medium Clinic,Clinic,Oromia Region,Jimma Zone,Limu Genet Town,,,
41b225d2-63cc-4b80-994a-5204d81aa0dc,1099173,Aba Chaltu Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Diga,,,
ebb8410d-4104-4d18-af77-09452ca964a8,1086183,Abadi Primary Clinic,Operational,Primary Clinic,Clinic,Benishangul-Gumuz Region,Assosa Zone,Kurmuk Woreda,,,
dc48808d-eefa-48d1-8cf1-32730beb3ef3,1001604,Abadir Medium Clinic,Operational,Medium Clinic,Clinic,Harari Region,Abadir,,,,
b385be39-5ab3-4e60-a58a-2f243a42dd3b,1003988,Abadir Medium Clinic,Operational,Medium Clinic,Clinic,Dire Dawa City Administration,Dire Dawa Operational,,,,
e5beb973-e4f5-4af9-8677-13e5cff884f0,1034462,Abadir Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Hararge Zone,Kersa,,,
e34a355b-7fee-4459-94f3-af745e576b89,1084371,Aba Dula Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Buno Bedele Zone,Borecha,,,
e7b22721-46a3-499f-9689-94e7fc6b5237,1083773,Aba Gada Medium clinic,Operational,Medium Clinic,Clinic,Oromia Region,Guji Zone,Uraga,,,
6d98e247-9728-4bae-a92f-19649b98ce04,1085114,Aba Gada Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Guji Zone,Uraga,,,
8bed07e7-05e3-483b-a5e8-579cc8ee7500,1094226,Aba Gada Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Hararge Zone,Habro,,,
1fe67d45-0cd6-45ad-b7d7-16ecf21b8cf1,1097740,Abagamachis Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Ilu Aba Bora Zone,Hurrumuu,,,
57dff2f1-146f-4101-be41-d1c42c62bacd,1080057,Aba Geda Institution Based Medium Clinic,Operational,Institution Based Medium Clinic,Clinic,Oromia Region,Adama Town,Dambela Sub City,,,
b5488e8f-1eaf-440d-9786-9a0e5b75bae7,1085569,Aba Geda Primary,Operational,Primary Clinic,Clinic,Oromia Region,Guji Zone,Odo Shakiso,,,
b2228170-f387-414d-9ee6-ba3e314cd7bd,1089073,Aba Geda Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Begi,,,
ac355c9e-6f97-4e7c-8038-60073fde5223,1089146,Aba Geda Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Qondala,,,
757b3ea2-cadb-4a41-bdd1-f9309156c1dd,1003973,Aba Jema Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Guna,,,
5f7b1144-e1c6-4fbe-a8b5-922ba881e87a,1038083,Aba Jifar Medium Cilinic PLC,Operational,Medium Clinic,Clinic,Oromia Region,Jimma Town,Jimma Town,,,
af138805-f577-4ea4-8d03-960fa856e4e7,1032327,Abajifar Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Shashemene Town,Haruf SubCity,,,
6746820b-cdef-45cd-9df4-a63323098df8,1049458,Abajifar Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Mencho,,,
0d35b025-279b-4db5-a326-beff5a8eca2b,1049472,Abajifar Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Seka Chekorsa,,,
3527a031-1ace-4405-a59e-53497a3d5ce7,1088011,Abakoricho Medium Clinic,Operational,Medium Clinic,Clinic,Central Ethiopia Region,Halaba Zone,Wera Dijo Woreda,,,
78a17b85-66c0-4a86-81b0-e9e895aeaa0b,1099026,Abala Medium Clinic,Operational,Medium Clinic,Clinic,Afar Region,Zone 2,Abala City Administration,,,
ff16dd4f-1d18-48b6-8bd2-f9b9e0aaadd8,1037637,Abalan Primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,Horo Gudru Wellega Zone,Amuru,,,
c13e5949-ae8a-4bae-a538-63b3fb557be8,1080790,Abala Primary Hospital ,Operational,Primary Hospital,Hospital,Afar Region,Zone 2,Abala City Administration,,,
c217b967-8e29-469a-817a-e107d26c1115,1083929,Abala Prison Institute Based Clinic,Operational,Institution based clinics,Clinic,Afar Region,Zone 2,Abala City Administration,,,
6d676877-282b-43be-a015-f26fd21b7c49,1034364,Abalo Medium Clinic PLC,Operational,Medium Clinic,Clinic,Oromia Region,Asela Town,Asella Town,,,
070e0817-ec36-40ee-a757-625f409c0515,1041787,Aba Machu Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Burji zone,Soyama zuriya woreda,,,
8444fd48-03c9-4474-8c77-7a1028bb1886,1035774,Aba Moti Primary Clinic ,Operational,Primary Clinic,Clinic,Oromia Region,South West Shewa,Ameya,,,
08bb8807-0977-4743-9cd7-7fa03d373a2c,1087186,Abaroba Primary Clinic ,Operational,Primary Clinic,Clinic,South Ethiopia Region,Konso zone,Karat zuriya woreda,,,
a9901186-c81f-439a-9b99-29732f30d3ba,1032685,Abaro Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Shashemene Town,Alache Sub city,,,
8a3a3f6d-6a06-4867-a69f-93edfa5a2008,1078943,Abarra Primary Cilinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Bokeji Town,,,
fc899e44-5d9c-4bba-83fa-c4d8259ef793,1049388,Aba Sena Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,West Wollega Zone,Gimbi Town,,,
9e849c57-d8d0-49f6-b814-85958ad6bebd,1099165,Abasena Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Sasiga,,,
bad1f330-5f77-4940-9eab-13b1ccec0f9c,1059260,Aba Sena Primary Hospital ,Operational,Primary Hospital,Hospital,Oromia Region,Nekemte Town,Nekemte Town,,,
17b55639-5820-49c5-a522-4c8d847c5b62,1079448,Abate Medium Clinic,Operational,Medium Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Mizan Aman Town Administration,,,
84374747-09ee-4b68-a128-dc92cfabb3d2,1097061,Abate Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,East Gojjam Zone,Enemay,,,
45e849c3-ccd6-416d-ab02-53a48e29f980,1093998,Abate Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Wollo Zone,Raya Kobo,,,
56f7cb54-2cab-4b97-9705-c5c4d6c35063,1075779,Abate Workie Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Shoa Zone,Kewot,,,
ce69a028-7513-443a-87f7-2f732007b85f,1095639,Abat Getu Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,West Gojam Zone,Jabi Tehinan,,,
6516ea7b-bbe2-4991-8ff1-d14c20be1b12,1084112,Abat Primary Clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Biftu Town Administration,,,
5473a9fa-6635-41b0-bc02-d14843724a3c,1093029,Abawolde Tinsae Medium Clinic ,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 12,,,
b1fe93f3-411b-4bbb-af6b-b2717047d054,1067879,Abaya Campus Medium Clinic,Operational,Medium Clinic,Clinic,South Ethiopia Region,Arba Minch Town,Arba Minch Town,,,
fa93cb06-cbd7-4d44-9a02-276788aac2fa,1072049,Abay Adaferia Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,South Gondar Zone,Libo Kemkem,,,
3815a6b8-5e88-49cd-a1c5-ae4234b8fef4,1045752,Abayagete Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Konso zone,Kolme woreda,,,
9d246fd4-bf36-4bf0-8c67-b191a7130057,1048694,Abaya Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Wollega Zone,Anger Gute Town,,,
28f16978-81cb-4bf5-818f-4706f90d1ebf,1006121,Abaya Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Hambela Wamena,,,
61010c73-7610-4c97-9c10-36a46314c962,1090865,Abaya Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Nunu Kumba,,,
afd2c72d-c734-4a8a-91bd-e63882015b41,1087003,Abaya Primary Clinic ,Operational,Primary Clinic,Clinic,South Ethiopia Region,Konso zone,Karat zuriya woreda,,,
068d2272-c698-45bd-a620-e2b71e832dd9,1028662,Abay Dental Medium Clinic,Operational,Dental Medium Clinic,Specialty Clinic,Addis Ababa City Administration,Arada Sub City,Woreda 1,,,
0dc0e6fd-46f1-4195-9f89-a73cbbf1895e,1058374,Abay Dental Speciality Clinic,Operational,Dental Speciality Clinic,Specialty Clinic,Sidama Region,Hawassa City Administration,Tabor Sub City,,,
5291d62e-607b-402e-a124-0943de200077,1076609,Abay Dental Specialty Clinic,Operational,Dental Speciality Clinic,Specialty Clinic,Amhara Region,Bahirdar Town Administration,Bahir Dar Town,,,
becf48a3-4696-4dc4-829a-5c86eb1ef97b,1079964,Abayineh Primary Clinic,Operational,Primary Clinic,Clinic,Central Ethiopia Region,Hadiya Zone,jajura town,,,
ea0300d6-c7ca-4175-b3b3-74214f0530c6,1033376,Abayi Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Kercha,,,
8d90191c-b245-452a-a8d8-2e43f825cd1b,1048652,Abayi Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Kelem Wollega Zone,Gawo Kebe,,,
7b4e28aa-f244-46f2-a1ca-4713e74005eb,1076751,Abayi Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Gojjam Zone,North Mecha Woreda,,,
8b77ec98-0ef1-4dae-9d27-624ac0edcc22,1088821,Abayi Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Mendi Twon,,,
d8d87038-2f20-4169-8590-6f80d24787c5,1097045,Abay Medium  Clinc,Operational,Medium Clinic,Clinic,Amhara Region,Bahirdar Town Administration,Bahir Dar Town,,,
7f046e5f-e974-47fd-98f0-c126246882cd,1029978,Abay Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Nifas Silk Lafto Sub City,Woreda 11,,,
b1708d6c-1bef-4c19-8da7-2106f09f421f,1065861,Abay Medium Clinic ,Operational,Medium Clinic,Clinic,South West Ethiopia Region,West Omo zone,Bero Woreda,,,
fb86495f-1061-4417-86c6-b7b3f4e8dbf8,1080686,Abay Medium Clinic ,Operational,Medium Clinic,Clinic,Benishangul-Gumuz Region,Metekel Zone,Dangur Woreda,,,
3381313d-408b-48d5-b80f-e13faee1a911,1038073,Abayneh Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Ambo Town,Ambo Town,,,
d689f12f-6458-465d-b9dc-8443e439e1c1,1075631,Abaynew Medium Clinic ,Operational,Medium Clinic,Clinic,Amhara Region,South Gondar Zone,Ebinat,,,
cf92dfd0-8b25-41f2-9804-faba9a1cdefc,1076812,Abaynew Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Gojjam Zone,Yilemana denisa Woreda,,,
eaca38dc-d5d5-41fa-9d25-c8bd2378fca0,1044757,Abay No1 Primary Cilinic,Operational,Primary Clinic,Clinic,Sidama Region,Southern Zone,Dara Woreda,,,
692950c3-35b7-4bed-97df-3600beeeedb8,1044758,Abay No2 Primary Clinic,Operational,Primary Clinic,Clinic,Sidama Region,Southern Zone,Dara Woreda,,,
c1feacf1-d196-495e-ab05-34be7c6ad0a8,1096813,Abay Primary Clinc,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Sheka Zone,Yeki Woreda,,,
315c89a5-5cd2-4cf0-90d3-7cf49cc599ee,1081365,Abay primary clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Sheka Zone,Yeki Woreda,,,
2a1652d4-d8f1-484f-a1ec-5d2db0043c76,1082233,Abay Primary  Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Awi Zone,Zigem,,,
b8f7b729-ab66-4cf8-ac0e-680c756a4c48,1038289,Abay Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Nekemte Town,Nekemte Town,,,
2868678c-7dd1-4a3a-bab9-2d47184c0aa4,1041029,Abay Primary Clinic,Operational,Primary Clinic,Clinic,Central Ethiopia Region,Hadiya Zone,hosaena town adminstration,,,
be464957-c1f5-4d5f-9511-07e9f0513462,1045856,Abay Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Konso zone,Segen zuriya woreda,,,
5dcae56c-e87e-4949-a3d7-9def08b5106e,1047016,Abay Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,gofa zone,Bulki town,,,
8707c11c-d019-418c-9212-4defe16004d3,1048738,Abay Primary Clinic,Operational,Primary Clinic,Clinic,Gambella Region,Majang Zone,Godere,,,
84860124-b503-4509-91de-240cd4a846d9,1071303,Abay Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,West Gojam Zone,Womberma,,,
5c93b68a-a85d-4b34-af94-3afc960138d2,1073039,Abay Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Awi Zone,Jawi,,,
616b2a3c-b356-4f20-9d52-bf3f201050f3,1077495,Abay Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Central Gondar Zone,Gondar Zuriya,,,
4bbf063f-234f-417b-8ee0-79aedb401bc0,1080629,Abay Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Dessie Town Administration,Dessie Town,,,
ca03904c-329c-4ae5-845d-ea106500a3d0,1084103,Abay Primary Clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Gura Ferda Woreda,,,
95a0e476-911c-4d46-ba28-75b890849e98,1100108,Abbaa Booraa Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Ilu Aba Bora Zone,Hurrumuu,,,
a56058db-9bfd-4454-b83d-60a146226f29,1059197,Abba Gada Primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Kercha,,,
a05a60d0-db6b-4ef2-bb03-1f0ca7e2407f,1099259,Abba Gamo Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Ilu Aba Bora Zone,Bure,,,
12ca4ec6-9bc9-4729-8aa2-59dac3755f03,1079006,Abba Geda Primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Shirka,,,
376b5d61-322a-4616-807a-81ac6064cc22,1079008,Abba Rashad Primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Shirka,,,
b7dc2ced-f54f-4a60-a92c-e530df924b8a,1036942,Abbas Dental Medium Clinic ,Operational,Dental Medium Clinic,Specialty Clinic,Dire Dawa City Administration,Legehare Operational,,,,
72d07245-d5e9-448c-a3a0-2d6da86a555f,1038308,Abba Sena Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Ilu Aba Bora Zone,Yayo,,,
58bd3224-e7de-4c5f-a19d-caa9ba10275f,1047048,Abbe Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,South omo zone,Turmi town,,,
a3acf727-0ca2-4e10-8e47-041337d61380,1062900,Abbichu Memorial Specialized Speciality Clinic,Operational,Psychiatry and mental health clinic,Specialty Clinic,Addis Ababa City Administration,Lemi kura Sub city,Woreda 08,,,
bbd12a75-362b-4559-afba-874669919c71,1033605,Abbitiya Primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Suro Barguda,,,
c8df36e4-16a3-4b4a-a4d6-3b754e95161e,1059735,Abdala Medium clinic,Operational,Medium Clinic,Clinic,Oromia Region,Buno Bedele Zone,Chora,,,
4e768c82-871e-47f4-8337-743bbe72feb4,1032577,Abdatan Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Shewa Zone,Jeldu,,,
e728e4e8-b97b-4637-b6d8-85e70a4964e4,1091457,Abdela Hayato Medium clinic,Operational,Medium Clinic,Clinic,Oromia Region,Shashemene Town,Alache Sub city,,,
4c9b23df-6598-401a-bae7-4af27b8508f1,1101547,Abdela Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Shewa Zone,Adami Tulu Jido Kombolcha,,,
ffc1cda5-917b-4da9-8d0d-16a4eedcd8e7,1100863,Abdela Medium Clinic ,Operational,Medium Clinic,Clinic,Amhara Region,South Wollo Zone,Worebabo,,,
5a7c0a1d-dac8-43f0-ac0b-3fd12f17422e,1077223,Abdela Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Oromia Special Zone,Artuma Fursi,,,
c82fa3ca-d6ac-4fda-84b5-2f0e56851f41,1081122,Abdela Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Setema,,,
57bff447-4461-43ee-a648-fdca1bf71a7a,1092991,Abdella Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,North Wollo Zone,Habru,,,
35bf2c37-8a54-492f-9625-f85595c3ee41,1081653,Abdelmejid Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,Oromia Special Zone,Bati Town,,,
f868e845-c73b-4604-8d0d-42a66ea55c59,1093109,Abdi Biya Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Shewa Zone,Adami Tulu Jido Kombolcha,,,
2fc9776c-af94-437a-b598-9e4210e4f828,1048474,Abdi Biya Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Babo Gembel,,,
83ddcb82-79c8-485a-b4ed-689ed607c53c,1064112,Abdi Biya Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Horo Gudru Wellega Zone,Guduru,,,
b5bd6b06-f28c-47e1-9bf0-d6306e3bf365,1084293,Abdi Bor Dental Clinic,Operational,Dental Medium Clinic,Specialty Clinic,Oromia Region,Buno Bedele Zone,Bedele Town,,,
89d75de4-e2e6-40c8-bdcc-c8ee8555baa3,1083824,Abdi Bori,Operational,Medium Clinic,Clinic,Oromia Region,West Wollega Zone,Babo Gembel,,,
02802518-f578-430a-887a-531ef22b73fc,1095824,Abdi Bori Dambi Dollo Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Kelem Wollega Zone,Dambi Dollo,,,
72c4363c-72ef-4cfa-b58f-4c670c4a3ee3,1004035,Abdi Bori Herero primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Arsi Zone,Dodola Rural,,,
a2667f5f-6f82-4547-8340-4a848455ac51,1083880,Abdi Bori Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Jimma Zone,Gomma,,,
6cc3f153-8dac-40b1-8b2b-1373d2f4982c,1095645,Abdi Bori Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Wollega Zone,Sibu Sire,,,
a6b9b36a-496a-4372-bf98-bc4cc36ab471,1101888,Abdi Bori Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,West Wollega Zone,Mene Sibu,,,
d9195b4d-908c-4ead-a95f-aad0ddce6579,1049666,Abdi bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Kelem Wollega Zone,Gidami,,,
c9010de0-464d-4ad9-acba-154f6f58327c,1058909,Abdi Bori Primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Abaya,,,
4ff6fe28-266a-46c3-9ab2-c694384f4585,1048483,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Kelem Wollega Zone,Gidami,,,
8ee4628e-024e-418e-98ef-53904706d68f,1048592,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Kelem Wollega Zone,Lalo Kile,,,
3b53e15f-1c81-4a28-a23e-d2d821f85c7a,1048612,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Kelem Wollega Zone,Saden Chanka,,,
ab49eeed-480c-4e34-bf9f-f5356793e451,1048626,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Boji Choqorsa,,,
5cce153e-f7be-4fee-85c9-209574c65b96,1048735,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Gambella Region,Majang Zone,Godere,,,
ecdf49ab-781a-4053-843d-cb614e7d220e,1048926,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Kelem Wollega Zone,Anfilo,,,
37075f1b-4093-4c4b-b0eb-fac70bb9e1f2,1049736,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Gimbi Rural,,,
30e58ef5-f051-43f6-922d-e02f7023f1c8,1049740,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Nejo Town,Nejo Town,,,
3928314b-a85b-4f56-8303-ea19e0b3292f,1050163,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Mene Sibu,,,
d91bde6a-a2ba-4b7a-b018-9dfd4703839a,1050678,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Seyo Nole,,,
43247c6d-e878-4499-a7d6-eaacbfbda2ea,1055503,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Guliso,,,
ea7dce1f-b57d-4057-bf49-76372dfe7dac,1088338,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Nole Kaba,,,
35927472-f8af-46fd-942f-4f6f1cb391f0,1088961,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Jarso,,,
6dc3e905-b3e4-4503-b9f9-417ca49cbc3e,1088989,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Arsi Zone,Heben Arsi,,,
b9786eea-5309-4325-a943-183774e46395,1089080,Abdi Bori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Begi,,,
c53caa55-25eb-43df-a5e9-60bcf4699a0e,1050173,Abdi Bori Primary Clinic ,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Mene Sibu,,,
364c2a6a-abf5-4016-8c03-8935e84e7e09,1050605,Abdi Bori Primary Clinic ,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Qondala,,,
5ea71fc0-d31b-439f-87cb-68d162cd89e9,1093575,Abdi Boru 2 Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Munesa,,,
0ff78a99-e921-4d16-bad6-76991b099c52,1004056,Abdi Boru Kechema Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Arsi Zone,Dodola Rural,,,
dc24c208-761a-454e-a2d2-13ebcc2f9665,1084647,Abdiboru Medium Clinic ,Operational,Medium Clinic,Clinic,Oromia Region,Shakiso Town,shakiso Town,,,
4e1be689-e096-46e8-a6c8-bb5dc25f3db4,1034255,Abdi Boru Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Arsi zone,Munesa,,,
04ce1948-be78-47dc-96ae-dcef2899ed9f,1035229,Abdi Boru Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Arsi zone,Chole,,,
42cb634c-692b-44a5-9226-c1d1f56bcdc7,1037688,Abdi Boru Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Sheger City,Burayu Sub-City,,,
6926ebca-10a3-4759-ac5b-0ba05008be1f,1094600,Abdi Boru Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Shewa Zone,Lume,,,
81aa25b7-28f1-4d61-ad3e-22f34d45caf7,1101282,Abdi Boru Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Bale Zone,Sinana,,,
a5cbadd4-c4ad-4a64-8e12-f7dbda98d6e0,1073896,Abdiboru primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Oromia Special Zone,Jile Timuga,,,
1a9186e4-be1e-44f0-a869-fc62d6e1f7be,1031655,Abdi Boru primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Arsi Zone,Wondo,,,
7c5103de-13b1-4390-967b-9b2ccde55e16,1033709,Abdi Boru primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Limuna Bilbilo,,,
cbeaf748-e89e-4bb4-9953-107f49600141,1004041,Abdi Boru primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Arsi Zone,Gedeb Hasasa,,,
e500a5f3-679a-41fc-9687-4033c0242cfb,1004042,Abdi Boru primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Arsi Zone,Siraro,,,
367170e8-160d-48f2-b6dc-9c7c7c86a152,1004044,Abdi Boru primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Arsi Zone,Nansebo,,,
1d2b2235-7a47-4ef8-b7c2-0984c070f6a4,1032778,Abdi Boru primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Shewa Zone,Mida Kegni,,,
