Uuid,Attribute|54686249-2c26-4dd9-be90-fc7868dedd8f,Name,Attribute|d4e54a2f-39bf-4b0a-8000-f2048eddbe12,Description,Attribute|f369dbaa-3a0a-416e-97d1-cac1a230824f,County/District,State/Province,Address 4,Void/Retire,_order:1000,Unnamed: 11
e6745f09-6ccc-466a-9a26-ed3aff82b701,1093432,Asefa Gota Medium Clinic,Operational,Medium Clinic,Clinic,South Ethiopia Region,Wolaita zone,Boloso sore woreda,,,
8441cd80-1a20-47a3-afc8-d195f6877e15,1032981,Asefa Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Bishoftu Town,Chelelka Woreda,,,
d5564455-6450-4d15-9e2c-24d5931c2289,1036212,Asefa Medium Clinic,Operational,Medium Clinic,Clinic,South Ethiopia Region,gofa zone,Bulki town,,,
3366a5af-ba0a-4430-93d1-613a30db8fb1,1075007,Asefa Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,West Gojam Zone,Finote Selam Town,,,
d57e7557-4d6b-4429-99cf-888fa44a58fd,1075629,Asefa Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Wollo Zone,Raya Kobo,,,
933ce2ae-fcc6-4d02-9bc4-fd778cf67a83,1088903,Asefa Primary Clinic ,Operational,Primary Clinic,Clinic,Benishangul-Gumuz Region,Metekel Zone,Pawi Woreda,,,
37120764-78fb-47dd-b81b-d7615e6414f8,1075138,Asefa Shigute Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Central Gondar Zone,Chilga,,,
083e8441-f902-4c49-a9e9-dc269093b464,1004957,Aseffa Medium Clinic,Operational,Medium Clinic,Clinic,Tigray Region,Mekelle Zone,Hadnet,,,
be43c6a7-a77a-45a6-8bec-d00f08c5e288,1077613,Asefye Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Wollo Zone,Dawunt,,,
ec53158e-0c1c-47c2-8347-44987b1cb3ed,1076697,Asekale Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,East Gojjam Zone,Hulet Eju Nese,,,
